feedback_id,customer_id,product,category,feedback_text,rating,sentiment,satisfaction_score,date,region,customer_type,feedback_text_cleaned,tokens,tokens_no_stopwords,tokens_lemmatized,feedback_processed
FB1000,CUST3286,Product A,Features,The delivery was fast and the product is exactly as described.,4,Positive,87,2025-08-15,North,Premium,the delivery was fast and the product is exactly as described.,"['the', 'delivery', 'was', 'fast', 'and', 'the', 'product', 'is', 'exactly', 'as', 'described', '.']","['delivery', 'fast', 'product', 'exactly', 'described', '.']","['delivery', 'fast', 'product', 'exactly', 'described', '.']",delivery fast product exactly described .
FB1001,CUST9279,Product E,Product Quality,Amazing experience! The product exceeded my expectations.,4,Positive,87,2025-01-05,South,Premium,amazing experience! the product exceeded my expectations.,"['amazing', 'experience', '!', 'the', 'product', 'exceeded', 'my', 'expectations', '.']","['amazing', 'experience', '!', 'product', 'exceeded', 'expectations', '.']","['amazing', 'experience', '!', 'product', 'exceeded', 'expectation', '.']",amazing experience ! product exceeded expectation .
FB1002,CUST5557,Product A,Customer Service,Bad experience. The product arrived late and broken.,1,Negative,24,2025-08-26,West,Returning,bad experience. the product arrived late and broken.,"['bad', 'experience', '.', 'the', 'product', 'arrived', 'late', 'and', 'broken', '.']","['bad', 'experience', '.', 'product', 'arrived', 'late', 'broken', '.']","['bad', 'experience', '.', 'product', 'arrived', 'late', 'broken', '.']",bad experience . product arrived late broken .
FB1003,CUST7224,Product A,Delivery,I love this product! It's exactly what I needed.,4,Positive,82,2024-08-10,East,Premium,i love this product! its exactly what i needed.,"['i', 'love', 'this', 'product', '!', 'its', 'exactly', 'what', 'i', 'needed', '.']","['love', 'product', '!', 'exactly', 'needed', '.']","['love', 'product', '!', 'exactly', 'needed', '.']",love product ! exactly needed .
FB1004,CUST3045,Product D,Product Quality,"It's fine, works as expected but nothing exceptional.",3,Neutral,67,2024-07-27,East,Premium,"its fine, works as expected but nothing exceptional.","['its', 'fine', ',', 'works', 'as', 'expected', 'but', 'nothing', 'exceptional', '.']","['fine', ',', 'works', 'expected', 'nothing', 'exceptional', '.']","['fine', ',', 'work', 'expected', 'nothing', 'exceptional', '.']","fine , work expected nothing exceptional ."
FB1005,CUST4150,Product A,Product Quality,Average quality for the price. Neither good nor bad.,3,Neutral,68,2025-07-25,South,Returning,average quality for the price. neither good nor bad.,"['average', 'quality', 'for', 'the', 'price', '.', 'neither', 'good', 'nor', 'bad', '.']","['average', 'quality', 'price', '.', 'neither', 'good', 'bad', '.']","['average', 'quality', 'price', '.', 'neither', 'good', 'bad', '.']",average quality price . neither good bad .
FB1006,CUST5554,Product D,Features,"Average experience. Some features work well, others don't.",3,Neutral,62,2024-01-20,East,New,"average experience. some features work well, others dont.","['average', 'experience', '.', 'some', 'features', 'work', 'well', ',', 'others', 'dont', '.']","['average', 'experience', '.', 'features', 'work', 'well', ',', 'others', 'dont', '.']","['average', 'experience', '.', 'feature', 'work', 'well', ',', 'others', 'dont', '.']","average experience . feature work well , others dont ."
FB1007,CUST3803,Product E,Features,The delivery was fast and the product is exactly as described.,4,Positive,99,2024-11-13,South,New,the delivery was fast and the product is exactly as described.,"['the', 'delivery', 'was', 'fast', 'and', 'the', 'product', 'is', 'exactly', 'as', 'described', '.']","['delivery', 'fast', 'product', 'exactly', 'described', '.']","['delivery', 'fast', 'product', 'exactly', 'described', '.']",delivery fast product exactly described .
FB1008,CUST1916,Product B,Product Quality,Very happy with my purchase. Great product!,4,Positive,90,2025-02-15,East,Returning,very happy with my purchase. great product!,"['very', 'happy', 'with', 'my', 'purchase', '.', 'great', 'product', '!']","['happy', 'purchase', '.', 'great', 'product', '!']","['happy', 'purchase', '.', 'great', 'product', '!']",happy purchase . great product !
FB1009,CUST9179,Product D,Features,The team was very helpful and professional.,5,Positive,86,2024-07-31,West,New,the team was very helpful and professional.,"['the', 'team', 'was', 'very', 'helpful', 'and', 'professional', '.']","['team', 'helpful', 'professional', '.']","['team', 'helpful', 'professional', '.']",team helpful professional .
FB1010,CUST8019,Product E,Pricing,Very happy with my purchase. Great product!,5,Positive,98,2024-07-28,East,New,very happy with my purchase. great product!,"['very', 'happy', 'with', 'my', 'purchase', '.', 'great', 'product', '!']","['happy', 'purchase', '.', 'great', 'product', '!']","['happy', 'purchase', '.', 'great', 'product', '!']",happy purchase . great product !
