feedback_id,customer_id,product,category,feedback_text,rating,sentiment,satisfaction_score,date,region,customer_type
FB1000,CUST3286,Product A,Features,The delivery was fast and the product is exactly as described.,4,Positive,87,2025-08-15,North,Premium
FB1001,CUST9279,Product E,Product Quality,Amazing experience! The product exceeded my expectations.,4,Positive,87,2025-01-05,South,Premium
FB1002,CUST5557,Product A,Customer Service,Bad experience. The product arrived late and broken.,1,Negative,24,2025-08-26,West,Returning
FB1003,CUST7224,Product A,Delivery,I love this product! It's exactly what I needed.,4,Positive,82,2024-08-10,East,Premium
FB1004,CUST3045,Product D,Product Quality,"It's fine, works as expected but nothing exceptional.",3,Neutral,67,2024-07-27,East,Premium
FB1005,CUST4150,Product A,Product Quality,Average quality for the price. Neither good nor bad.,3,Neutral,68,2025-07-25,South,Returning
FB1006,CUST5554,Product D,Features,"Average experience. Some features work well, others don't.",3,Neutral,62,2024-01-20,East,New
FB1007,CUST3803,Product E,Features,The delivery was fast and the product is exactly as described.,4,Positive,99,2024-11-13,South,New
FB1008,CUST1916,Product B,Product Quality,Very happy with my purchase. Great product!,4,Positive,90,2025-02-15,East,Returning
FB1009,CUST9179,Product D,Features,The team was very helpful and professional.,5,Positive,86,2024-07-31,West,New
FB1010,CUST8019,Product E,Pricing,Very happy with my purchase. Great product!,5,Positive,98,2024-07-28,East,New
FB1011,CUST2796,Product B,Features,Poor customer service. They didn't respond to my complaints.,1,Negative,37,2024-03-20,South,Premium
FB1012,CUST8668,Product E,Delivery,Bad experience. The product arrived late and broken.,2,Negative,29,2025-01-05,North,Premium
FB1013,CUST6573,Product A,Delivery,Complete waste of money. Very unsatisfied.,2,Negative,34,2024-02-25,West,New
FB1014,CUST2743,Product C,Features,The delivery was fast and the product is exactly as described.,4,Positive,96,2025-02-06,South,New
FB1015,CUST6310,Product D,Product Quality,Complete waste of money. Very unsatisfied.,1,Negative,29,2024-11-16,North,Returning
FB1016,CUST8962,Product A,User Experience,Outstanding customer service. They resolved my issue quickly.,4,Positive,82,2024-09-09,South,New
FB1017,CUST9645,Product E,Pricing,Very happy with my purchase. Great product!,4,Positive,88,2025-09-05,South,Premium
FB1018,CUST7118,Product D,User Experience,The delivery was fast and the product is exactly as described.,5,Positive,100,2025-10-06,West,New
FB1019,CUST4770,Product E,Customer Service,I love this product! It's exactly what I needed.,4,Positive,98,2024-07-10,North,New
FB1020,CUST1514,Product C,Product Quality,Terrible experience. The product doesn't work as advertised.,1,Negative,38,2025-10-24,South,Returning
FB1021,CUST8744,Product B,Pricing,Very happy with my purchase. Great product!,4,Positive,98,2025-09-15,West,New
FB1022,CUST7735,Product D,Features,Five stars! The quality is superb and the price is reasonable.,5,Positive,93,2024-02-04,North,Premium
FB1023,CUST7596,Product C,Product Quality,"Average experience. Some features work well, others don't.",3,Neutral,51,2025-08-30,South,New
FB1024,CUST5563,Product D,Customer Service,The delivery took too long and the product was damaged.,2,Negative,15,2024-05-12,North,Returning
FB1025,CUST4872,Product B,Pricing,Very happy with my purchase. Great product!,4,Positive,82,2025-05-16,West,Returning
FB1026,CUST7209,Product A,Pricing,"The product is okay, nothing special but does the job.",3,Neutral,55,2024-06-05,East,Returning
FB1027,CUST4111,Product C,Customer Service,Very happy with my purchase. Great product!,5,Positive,84,2024-08-18,North,Premium
